index,full_name,short_name,description,output_type,parameters
676,ee.Geometry.Point.intersects,intersects,Returns true iff the geometries intersect.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
677,ee.Geometry.Point.isUnbounded,isUnbounded,Returns whether the geometry is unbounded.,Boolean,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
678,ee.Geometry.Point.length,length,Returns the length of the linear parts of the geometry. Polygonal parts are ignored. The length of multi geometries is the sum of the lengths of their components.,Float,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The input geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.'}]"
679,ee.Geometry.Point.perimeter,perimeter,Returns the length of the perimeter of the polygonal parts of the geometry. The perimeter of multi geometries is the sum of the perimeters of their components.,Float,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The input geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.'}]"
680,ee.Geometry.Point.projection,projection,Returns the projection of the geometry.,Projection,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
682,ee.Geometry.Point.simplify,simplify,"Simplifies the geometry to within a given error margin. Note that this does not respect the error margin requested by the consumer of this algorithm, unless maxError is explicitly specified to be null.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry to simplify.'}, {'name': 'maxError', 'type': 'ErrorMargin', 'details': 'The maximum amount of error by which the result may differ from the input.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in this projection. Otherwise it will be in the same projection as the input. If the error margin is in projected units, the margin will be interpreted as units of this projection'}]"
683,ee.Geometry.Point.symmetricDifference,symmetricDifference,Returns the symmetric difference between two geometries.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
684,ee.Geometry.Point.toGeoJSON,toGeoJSON,Returns a GeoJSON representation of the geometry.,GeoJSONGeometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The Geometry instance.'}]"
685,ee.Geometry.Point.toGeoJSONString,toGeoJSONString,Returns a GeoJSON string representation of the geometry.,String,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The Geometry instance.'}]"
686,ee.Geometry.Point.transform,transform,Transforms the geometry to a specific projection.,Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry to reproject.'}, {'name': 'proj', 'type': 'Projection, optional', 'details': 'The target projection. Defaults to WGS84. If this has a geographic CRS, the edges of the geometry will be interpreted as geodesics. Otherwise they will be interpreted as straight lines in the projection.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum projection error.'}]"
687,ee.Geometry.Point.type,type,Returns the GeoJSON type of the geometry.,String,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
688,ee.Geometry.Point.union,union,Returns the union of the two geometries.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
689,ee.Geometry.Point.withinDistance,withinDistance,Returns true iff the geometries are within a specified distance.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'distance', 'type': 'Float', 'details': 'The distance threshold. If a projection is specified, the distance is in units of that projected coordinate system, otherwise it is in meters.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
690,ee.Geometry.Polygon,ee.Geometry.Polygon,Constructs an ee.Geometry describing a polygon.,Geometry.Polygon,"[{'name': 'coords', 'type': 'List', 'details': ""A list of rings defining the boundaries of the polygon. May be a list of coordinates in the GeoJSON 'Polygon' format, a list of ee.Geometry objects describing a LinearRing, or a list of numbers defining a single polygon boundary.""}, {'name': 'proj', 'type': 'Projection, optional', 'details': 'The projection of this geometry. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.'}, {'name': 'geodesic', 'type': 'Boolean, optional', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}, {'name': 'maxError', 'type': 'ErrorMargin, optional', 'details': 'Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.'}, {'name': 'evenOdd', 'type': 'Boolean, optional', 'details': ""If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left- inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order. If unspecified, defaults to true.""}]"
691,ee.Geometry.Polygon.area,area,"Returns the area of the geometry. Area of points and line strings is 0, and the area of multi geometries is the sum of the areas of their components (intersecting areas are counted multiple times).",Float,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry input.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in square meters.'}]"
692,ee.Geometry.Polygon.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject,"[{'name': 'computedobject', 'type': 'ComputedObject', 'details': 'The ComputedObject instance.'}, {'name': 'func', 'type': 'Function', 'details': 'The function to call.'}, {'name': 'var_args', 'type': 'VarArgs', 'details': 'Any extra arguments to pass to the function.'}]"
693,ee.Geometry.Polygon.bounds,bounds,Returns the bounding rectangle of the geometry.,Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Return the bounding box of this geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in this projection. Otherwise it will be in WGS84.'}]"
694,ee.Geometry.Polygon.buffer,buffer,"Returns the input buffered by a given distance. If the distance is positive, the geometry is expanded, and if the distance is negative, the geometry is contracted.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry being buffered.'}, {'name': 'distance', 'type': 'Float', 'details': 'The distance of the buffering, which may be negative. If no projection is specified, the unit is meters. Otherwise the unit is in the coordinate system of the projection.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when approximating the buffering circle and performing any necessary reprojection. If unspecified, defaults to 1% of the distance.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the buffering will be performed in this projection and the distance will be interpreted as units of the coordinate system of this projection. Otherwise the distance is interpereted as meters and the buffering is performed in a spherical coordinate system.'}]"
695,ee.Geometry.Polygon.centroid,centroid,"Returns a point at the center of the highest-dimension components of the geometry. Lower-dimensional components are ignored, so the centroid of a geometry containing two polygons, three lines and a point is equivalent to the centroid of a geometry containing just the two polygons.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Calculates the centroid of this geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in this projection. Otherwise it will be in WGS84.'}]"
696,ee.Geometry.Polygon.containedIn,containedIn,Returns true iff one geometry is contained in the other.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
697,ee.Geometry.Polygon.contains,contains,Returns true iff one geometry contains the other.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
698,ee.Geometry.Polygon.convexHull,convexHull,"Returns the convex hull of the given geometry. The convex hull of a single point is the point itself, the convex hull of collinear points is a line, and the convex hull of  everything else is a polygon. Note that a degenerate polygon with all vertices on the same line will result in a line segment.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Calculates the convex hull of this geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
699,ee.Geometry.Polygon.coordinates,coordinates,Returns a GeoJSON-style list of the geometry's coordinates.,List,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
700,ee.Geometry.Polygon.coveringGrid,coveringGrid,"Returns a collection of features that cover this geometry, where each feature is a rectangle in the grid defined by the given projection.",FeatureCollection,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The result is the grid cells that intersect with this region.'}, {'name': 'proj', 'type': 'Projection', 'details': ""The projection in which to construct the grid.  A feature is generated for each grid cell that intersects 'geometry', where cell corners are at integer-valued positions in the projection.  If the projection is scaled in meters, the points will be on a grid of that size at the point of true scale.""}, {'name': 'scale', 'type': 'Float, default: null', 'details': ""Overrides the scale of the projection, if provided.  May be required if the projection isn't already scaled.""}]"
701,ee.Geometry.Polygon.cutLines,cutLines,"Converts LineString, MultiLineString, and LinearRing geometries into a MultiLineString by cutting them into parts no longer than the given distance along their length. All other geometry types will be converted to an empty MultiLineString.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Cuts the lines of this geometry.'}, {'name': 'distances', 'type': 'List', 'details': 'Distances along each LineString to cut the line into separate pieces, measured in units of the given proj, or meters if proj is unspecified.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'Projection of the result and distance measurements, or WGS84 if unspecified.'}]"
702,ee.Geometry.Polygon.difference,difference,Returns the result of subtracting the 'right' geometry from the 'left' geometry.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
703,ee.Geometry.Polygon.disjoint,disjoint,Returns true iff the geometries are disjoint.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
704,ee.Geometry.Polygon.dissolve,dissolve,"Returns the union of the geometry. This leaves single geometries untouched, and unions multi geometries.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry to union.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the union will be performed in this projection. Otherwise it will be performed in a spherical coordinate system.'}]"
705,ee.Geometry.Polygon.distance,distance,Returns the minimum distance between two geometries.,Float,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
706,ee.Geometry.Polygon.edgesAreGeodesics,edgesAreGeodesics,"Returns true if the geometry edges, if any, are geodesics along a spherical model of the earth; if false, any edges are straight lines in the projection.",Boolean,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
707,ee.Geometry.Polygon.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY,"[{'name': 'computedobject', 'type': 'ComputedObject', 'details': 'The ComputedObject instance.'}, {'name': 'callback', 'type': 'Function', 'details': 'A function of the form function(success, failure), called when the server returns an answer. If the request succeeded, the success argument contains the evaluated result.  If the request failed, the failure argument will contains an error message.'}]"
708,ee.Geometry.Polygon.geodesic,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth.",Boolean,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
709,ee.Geometry.Polygon.geometries,geometries,"Returns the list of geometries in a GeometryCollection, or a singleton list of the geometry for single geometries.",List,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
710,ee.Geometry.Polygon.getInfo,getInfo,Retrieves the value of this object from the server.,Object,"[{'name': 'computedobject', 'type': 'ComputedObject', 'details': 'The ComputedObject instance.'}, {'name': 'callback', 'type': 'Function, optional', 'details': 'An optional callback. If not supplied, the call is made synchronously.'}]"
711,ee.Geometry.Polygon.intersection,intersection,Returns the intersection of the two geometries.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
712,ee.Geometry.Polygon.intersects,intersects,Returns true iff the geometries intersect.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
713,ee.Geometry.Polygon.isUnbounded,isUnbounded,Returns whether the geometry is unbounded.,Boolean,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
714,ee.Geometry.Polygon.length,length,Returns the length of the linear parts of the geometry. Polygonal parts are ignored. The length of multi geometries is the sum of the lengths of their components.,Float,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The input geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.'}]"
715,ee.Geometry.Polygon.perimeter,perimeter,Returns the length of the perimeter of the polygonal parts of the geometry. The perimeter of multi geometries is the sum of the perimeters of their components.,Float,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The input geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.'}]"
716,ee.Geometry.Polygon.projection,projection,Returns the projection of the geometry.,Projection,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
718,ee.Geometry.Polygon.simplify,simplify,"Simplifies the geometry to within a given error margin. Note that this does not respect the error margin requested by the consumer of this algorithm, unless maxError is explicitly specified to be null.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry to simplify.'}, {'name': 'maxError', 'type': 'ErrorMargin', 'details': 'The maximum amount of error by which the result may differ from the input.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in this projection. Otherwise it will be in the same projection as the input. If the error margin is in projected units, the margin will be interpreted as units of this projection'}]"
719,ee.Geometry.Polygon.symmetricDifference,symmetricDifference,Returns the symmetric difference between two geometries.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
720,ee.Geometry.Polygon.toGeoJSON,toGeoJSON,Returns a GeoJSON representation of the geometry.,GeoJSONGeometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The Geometry instance.'}]"
721,ee.Geometry.Polygon.toGeoJSONString,toGeoJSONString,Returns a GeoJSON string representation of the geometry.,String,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The Geometry instance.'}]"
722,ee.Geometry.Polygon.transform,transform,Transforms the geometry to a specific projection.,Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry to reproject.'}, {'name': 'proj', 'type': 'Projection, optional', 'details': 'The target projection. Defaults to WGS84. If this has a geographic CRS, the edges of the geometry will be interpreted as geodesics. Otherwise they will be interpreted as straight lines in the projection.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum projection error.'}]"
723,ee.Geometry.Polygon.type,type,Returns the GeoJSON type of the geometry.,String,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
724,ee.Geometry.Polygon.union,union,Returns the union of the two geometries.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
725,ee.Geometry.Polygon.withinDistance,withinDistance,Returns true iff the geometries are within a specified distance.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'distance', 'type': 'Float', 'details': 'The distance threshold. If a projection is specified, the distance is in units of that projected coordinate system, otherwise it is in meters.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
726,ee.Geometry.Rectangle,ee.Geometry.Rectangle,Constructs an ee.Geometry describing a rectangular polygon.,Geometry.Rectangle,"[{'name': 'coords', 'type': 'List', 'details': ""The minimum and maximum corners of the rectangle, as a list of two points each in the format of GeoJSON 'Point' coordinates, or a list of two ee.Geometry objects describing a point, or a list of four numbers in the order xMin, yMin, xMax, yMax.""}, {'name': 'proj', 'type': 'Projection, optional', 'details': 'The projection of this geometry. If unspecified, the default is the projection of the input ee.Geometry, or EPSG:4326 if there are no ee.Geometry inputs.'}, {'name': 'geodesic', 'type': 'Boolean, optional', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}, {'name': 'evenOdd', 'type': 'Boolean, optional', 'details': ""If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left- inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order. If unspecified, defaults to true.""}]"
727,ee.Geometry.Rectangle.area,area,"Returns the area of the geometry. Area of points and line strings is 0, and the area of multi geometries is the sum of the areas of their components (intersecting areas are counted multiple times).",Float,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry input.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in square meters.'}]"
728,ee.Geometry.Rectangle.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject,"[{'name': 'computedobject', 'type': 'ComputedObject', 'details': 'The ComputedObject instance.'}, {'name': 'func', 'type': 'Function', 'details': 'The function to call.'}, {'name': 'var_args', 'type': 'VarArgs', 'details': 'Any extra arguments to pass to the function.'}]"
729,ee.Geometry.Rectangle.bounds,bounds,Returns the bounding rectangle of the geometry.,Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Return the bounding box of this geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in this projection. Otherwise it will be in WGS84.'}]"
730,ee.Geometry.Rectangle.buffer,buffer,"Returns the input buffered by a given distance. If the distance is positive, the geometry is expanded, and if the distance is negative, the geometry is contracted.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry being buffered.'}, {'name': 'distance', 'type': 'Float', 'details': 'The distance of the buffering, which may be negative. If no projection is specified, the unit is meters. Otherwise the unit is in the coordinate system of the projection.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when approximating the buffering circle and performing any necessary reprojection. If unspecified, defaults to 1% of the distance.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the buffering will be performed in this projection and the distance will be interpreted as units of the coordinate system of this projection. Otherwise the distance is interpereted as meters and the buffering is performed in a spherical coordinate system.'}]"
731,ee.Geometry.Rectangle.centroid,centroid,"Returns a point at the center of the highest-dimension components of the geometry. Lower-dimensional components are ignored, so the centroid of a geometry containing two polygons, three lines and a point is equivalent to the centroid of a geometry containing just the two polygons.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Calculates the centroid of this geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in this projection. Otherwise it will be in WGS84.'}]"
732,ee.Geometry.Rectangle.containedIn,containedIn,Returns true iff one geometry is contained in the other.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
733,ee.Geometry.Rectangle.contains,contains,Returns true iff one geometry contains the other.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
734,ee.Geometry.Rectangle.convexHull,convexHull,"Returns the convex hull of the given geometry. The convex hull of a single point is the point itself, the convex hull of collinear points is a line, and the convex hull of  everything else is a polygon. Note that a degenerate polygon with all vertices on the same line will result in a line segment.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Calculates the convex hull of this geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
735,ee.Geometry.Rectangle.coordinates,coordinates,Returns a GeoJSON-style list of the geometry's coordinates.,List,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
736,ee.Geometry.Rectangle.coveringGrid,coveringGrid,"Returns a collection of features that cover this geometry, where each feature is a rectangle in the grid defined by the given projection.",FeatureCollection,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The result is the grid cells that intersect with this region.'}, {'name': 'proj', 'type': 'Projection', 'details': ""The projection in which to construct the grid.  A feature is generated for each grid cell that intersects 'geometry', where cell corners are at integer-valued positions in the projection.  If the projection is scaled in meters, the points will be on a grid of that size at the point of true scale.""}, {'name': 'scale', 'type': 'Float, default: null', 'details': ""Overrides the scale of the projection, if provided.  May be required if the projection isn't already scaled.""}]"
